feature,training_unique_values,training_modal_share,training_zero_share,keep_for_modeling,decision_reason
Sensor_1,2917,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_2,1705,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_3,1387,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_4,2919,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_5,1710,0.24239298607529655,0.00025786487880350697,True,retained
Sensor_6,1384,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_7,2931,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_8,2861,0.26147498710675604,0.0,True,retained
Sensor_9,2941,0.24187725631768953,0.00025786487880350697,True,retained
Sensor_10,2758,0.2723053120165034,0.013924703455389376,True,retained
Sensor_11,2941,0.24187725631768953,0.24187725631768953,True,retained
Sensor_12,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_13,2810,0.24213512119649303,0.0033522434244455906,True,retained
Sensor_14,2928,0.24522949974213512,0.00025786487880350697,True,retained
Sensor_15,2935,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_16,1765,0.5448684889118102,0.00025786487880350697,True,retained
Sensor_17,195,0.2475502836513667,0.00025786487880350697,True,retained
Sensor_18,317,0.5505415162454874,0.00025786487880350697,True,retained
Sensor_19,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_20,845,0.7805569881382156,0.00025786487880350697,True,retained
Sensor_21,848,0.780814853017019,0.00025786487880350697,True,retained
Sensor_22,2937,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_23,2941,0.24187725631768953,0.00025786487880350697,True,retained
Sensor_24,1188,0.6939143888602373,0.6939143888602373,True,retained
Sensor_25,1187,0.6941722537390408,0.00025786487880350697,True,retained
Sensor_26,12,0.980660134089737,0.980660134089737,False,one value occurs in at least 98% of primary training rows
Sensor_27,3486,0.04048478597215059,0.0007735946364105209,True,retained
Sensor_28,3530,0.040226921093347086,0.00025786487880350697,True,retained
Sensor_29,3492,0.040226921093347086,0.0005157297576070139,True,retained
Sensor_30,3532,0.020887055183084063,0.0015471892728210418,True,retained
Sensor_31,2941,0.24187725631768953,0.0,True,retained
Sensor_32,2924,0.24626095925734914,0.00025786487880350697,True,retained
Sensor_33,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_34,3493,0.040226921093347086,0.0005157297576070139,True,retained
Sensor_35,3417,0.10469314079422383,0.0,True,retained
Sensor_36,3533,0.020887055183084063,0.0015471892728210418,True,retained
Sensor_37,2939,0.24213512119649303,0.0,True,retained
Sensor_38,2928,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_39,2369,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_40,2838,0.26095925734914904,0.00025786487880350697,True,retained
Sensor_41,403,0.6949458483754513,0.0018050541516245488,True,retained
Sensor_42,54,0.7065497679216091,0.00025786487880350697,True,retained
Sensor_43,2937,0.24213512119649303,0.0010314595152140279,True,retained
Sensor_44,2940,0.24187725631768953,0.24187725631768953,True,retained
Sensor_45,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_46,2928,0.24213512119649303,0.0033522434244455906,True,retained
Sensor_47,2938,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_48,999,0.24265085095410005,0.00025786487880350697,True,retained
Sensor_49,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_50,2087,0.22485817431665808,0.0,True,retained
Sensor_51,1795,0.38782877772047447,0.00025786487880350697,True,retained
Sensor_52,3877,0.0005157297576070139,0.00025786487880350697,True,retained
Sensor_53,2235,0.0046415678184631255,0.0020629190304280558,True,retained
Sensor_54,3878,0.00025786487880350697,0.00025786487880350697,True,retained
Sensor_55,2090,0.24239298607529655,0.0,True,retained
Sensor_56,1486,0.005157297576070139,0.0015471892728210418,True,retained
Sensor_57,6,0.7826199071686436,0.7826199071686436,True,retained
Sensor_58,124,0.7596699329551315,0.7596699329551315,True,retained
Sensor_59,1325,0.5745229499742135,0.00025786487880350697,True,retained
Sensor_60,1331,0.6565239814337287,0.6565239814337287,True,retained
Sensor_61,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_62,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_63,2,0.997421351211965,0.0025786487880350697,False,one value occurs in at least 98% of primary training rows
Sensor_64,25,0.6493037648272305,0.00025786487880350697,True,retained
Sensor_65,12,0.516245487364621,0.0020629190304280558,True,retained
Sensor_66,2919,0.24187725631768953,0.00025786487880350697,True,retained
Sensor_67,2940,0.24213512119649303,0.00025786487880350697,True,retained
Sensor_68,103,0.2913873130479629,0.00025786487880350697,True,retained
Sensor_69,2024,0.47833935018050544,0.00025786487880350697,True,retained
Sensor_70,3878,0.00025786487880350697,0.00025786487880350697,True,retained
Sensor_71,246,0.05363589479112945,0.00025786487880350697,True,retained
Sensor_72,3878,0.00025786487880350697,0.00025786487880350697,True,retained
Sensor_73,2025,0.4780814853017019,0.00025786487880350697,True,retained
Sensor_74,2024,0.47833935018050544,0.00025786487880350697,True,retained
Sensor_75,3104,0.05105724600309438,0.0,True,retained
Sensor_76,98,0.4551315110881898,0.4551315110881898,True,retained
Sensor_77,270,0.019855595667870037,0.0005157297576070139,True,retained
Sensor_78,399,0.2895822588963383,0.00025786487880350697,True,retained
Sensor_79,279,0.2439401753481176,0.00025786487880350697,True,retained
Sensor_80,337,0.2516761217122228,0.00025786487880350697,True,retained
Sensor_81,2872,0.01779267663744198,0.0,True,retained
Sensor_82,3195,0.018824136152656008,0.0,True,retained
Sensor_83,138,0.34734399174832387,0.00025786487880350697,True,retained
Sensor_84,394,0.06884992264053635,0.00025786487880350697,True,retained
Sensor_85,2869,0.01779267663744198,0.0,True,retained
Sensor_86,212,0.33522434244455906,0.0007735946364105209,True,retained
Sensor_87,129,0.35353274883960806,0.00025786487880350697,True,retained
Sensor_88,128,0.49174832387828776,0.00025786487880350697,True,retained
Sensor_89,3495,0.03842186694172254,0.0005157297576070139,True,retained
Sensor_90,3523,0.020887055183084063,0.0007735946364105209,True,retained
Sensor_91,2784,0.24213512119649303,0.0,True,retained
Sensor_92,129,0.4698298091799897,0.0015471892728210418,True,retained
Sensor_93,2940,0.24213512119649303,0.0,True,retained
Sensor_94,2809,0.23156266116554924,0.0007735946364105209,True,retained
Sensor_95,2853,0.22099020113460546,0.0007735946364105209,True,retained
Sensor_96,3112,0.1521402784940691,0.1521402784940691,True,retained
Sensor_97,2908,0.24213512119649303,0.0025786487880350697,True,retained
