observation_index,primary_split,grouped_sensitivity_split,target_profile_group,all_zero_output
0,train,test,0,False
1,train,train,1,False
2,train,train,2,False
3,train,train,3,False
4,train,train,4,False
5,train,train,5,False
6,train,train,6,False
7,train,test,7,False
8,test,train,8,False
9,train,train,9,False
10,train,train,10,False
11,train,train,11,False
12,test,train,12,False
13,train,train,13,False
14,train,test,14,False
15,train,train,15,False
16,train,train,16,False
17,test,test,17,False
18,train,train,18,False
19,test,train,19,False
20,train,train,20,False
21,train,train,21,False
22,train,train,22,False
23,test,train,22,False
24,train,train,23,False
25,train,train,24,False
26,test,test,25,False
27,train,test,26,False
28,train,train,27,False
29,test,train,28,False
30,train,train,29,False
31,test,train,29,False
32,train,train,29,False
33,test,test,30,False
34,train,test,31,False
35,train,test,32,False
36,train,test,33,False
37,train,train,34,False
38,train,train,35,False
39,train,train,36,False
40,train,train,37,False
41,train,train,38,False
42,train,train,39,False
43,test,train,40,False
44,train,train,41,False
45,test,train,42,False
46,train,test,43,False
47,test,test,44,False
48,train,test,45,False
49,train,train,46,False
50,train,train,47,False
51,test,train,48,False
52,train,train,49,False
53,train,train,49,False
54,train,train,49,False
55,train,train,50,False
56,train,test,51,False
57,train,test,52,False
58,train,train,53,False
59,train,train,54,False
60,train,train,55,False
61,test,train,56,False
62,train,train,57,False
63,train,test,58,False
64,train,train,59,False
65,test,train,60,False
66,train,test,61,False
67,train,train,62,False
68,test,test,63,False
69,test,train,64,False
70,test,train,65,False
71,train,train,66,False
72,train,test,67,False
73,train,train,68,False
74,train,train,69,False
75,train,test,70,False
76,train,train,71,False
77,train,train,72,False
78,train,train,73,False
79,test,train,74,False
80,test,train,75,False
81,train,test,76,False
82,train,train,77,False
83,train,train,77,False
84,test,train,78,False
85,train,train,79,False
86,train,train,79,False
87,train,train,79,False
88,train,test,80,False
89,train,train,81,False
90,test,train,82,False
91,train,train,82,False
92,train,train,82,False
93,test,train,83,False
94,train,train,84,False
95,test,train,85,False
96,test,train,86,False
97,train,train,87,False
98,train,test,88,False
99,test,train,89,False
100,test,train,90,False
101,train,train,91,False
102,train,train,92,False
103,train,test,93,False
104,train,train,94,False
105,train,train,94,False
106,test,train,95,False
107,train,test,96,False
108,train,test,96,False
109,test,test,96,False
110,train,train,97,False
111,train,train,98,False
112,train,train,99,False
113,train,train,99,False
114,train,train,100,False
115,train,train,101,False
116,train,train,101,False
117,train,test,102,False
118,train,train,103,False
119,train,train,104,False
120,test,train,105,False
121,train,train,106,False
122,test,train,107,False
123,train,train,108,False
124,train,test,109,False
125,train,train,110,False
126,train,train,111,False
127,train,train,112,False
128,train,train,113,False
129,train,train,114,False
130,train,train,114,False
131,train,train,115,False
132,test,train,116,False
133,train,train,117,False
134,test,train,118,False
135,test,train,119,False
136,train,test,120,False
137,train,train,121,False
138,train,train,121,False
139,test,train,121,False
140,train,train,121,False
141,train,train,121,False
142,train,train,122,False
143,train,train,122,False
144,test,train,122,False
145,train,train,123,False
146,train,test,124,False
147,train,train,125,False
148,train,train,126,False
149,test,train,127,False
150,test,train,128,False
151,test,train,129,False
152,test,train,130,False
153,train,train,131,False
154,train,train,132,False
155,train,train,133,False
156,train,test,134,False
157,test,train,135,False
158,train,train,135,False
159,train,train,136,False
160,train,train,137,False
161,train,train,137,False
162,train,train,138,False
163,train,test,139,False
164,train,train,140,False
165,train,train,141,False
166,test,train,142,False
167,train,train,143,False
168,test,test,144,False
169,train,train,145,False
170,train,train,146,False
171,train,train,146,False
172,train,train,147,False
173,train,train,148,False
174,train,test,149,False
175,test,train,150,False
176,train,train,151,False
177,test,test,152,False
178,train,train,153,False
179,test,train,154,False
180,test,train,155,False
181,train,train,156,False
182,train,test,157,False
183,train,train,158,False
184,test,train,158,False
185,train,train,159,False
186,train,train,160,False
187,train,train,161,False
188,train,train,162,False
189,train,train,163,False
190,train,train,164,False
191,test,train,165,False
192,test,test,166,False
193,train,train,167,False
194,train,train,168,False
195,train,train,168,False
196,test,train,168,False
197,train,train,169,False
198,train,train,169,False
199,test,test,170,False
200,train,test,170,False
201,train,train,171,False
202,train,train,172,False
203,test,test,173,False
204,train,test,174,False
205,test,test,175,False
206,train,train,176,False
207,train,train,177,False
208,train,train,177,False
209,train,train,177,False
210,train,test,178,False
211,test,test,179,False
212,train,train,180,False
213,train,train,181,False
214,test,train,182,False
215,train,test,183,False
216,train,test,183,False
217,train,test,184,False
218,train,train,185,False
219,test,train,186,False
220,train,train,187,False
221,train,test,188,False
222,train,train,189,False
223,train,train,189,False
224,train,train,190,False
225,train,train,191,False
226,train,train,191,False
227,test,test,192,False
228,test,train,193,False
229,train,test,194,False
230,test,train,195,False
231,train,test,196,False
232,train,test,196,False
233,test,train,197,False
234,train,train,198,False
235,train,train,199,False
236,train,train,200,False
237,train,train,200,False
238,test,train,200,False
239,test,train,201,False
240,test,train,202,False
241,train,test,203,False
242,train,train,204,False
243,train,train,205,False
244,train,train,206,False
245,train,train,206,False
246,train,train,207,False
247,train,train,208,False
248,test,train,209,False
249,train,train,210,False
250,train,test,211,False
251,test,train,212,False
252,test,train,213,False
253,train,test,214,False
254,test,train,215,False
255,train,train,216,False
256,train,test,217,False
257,train,test,218,False
258,train,train,219,False
259,train,train,220,False
260,train,test,221,False
261,train,train,222,False
262,train,train,223,False
263,train,train,224,False
264,train,train,225,False
265,train,train,226,False
266,train,train,227,False
267,train,train,228,False
268,train,test,229,False
269,train,train,230,False
270,train,train,231,False
271,train,train,232,False
272,train,train,233,False
273,train,train,234,False
274,test,train,235,False
275,train,train,236,False
276,train,train,236,False
277,train,train,237,False
278,train,test,238,False
279,train,test,239,False
280,train,test,240,False
281,train,train,241,False
282,train,train,242,False
283,train,train,243,False
284,train,train,244,False
285,train,train,245,False
286,train,test,246,False
287,test,test,246,False
288,train,test,247,False
289,train,train,248,False
290,test,train,249,False
291,test,train,250,False
292,train,train,250,False
293,train,test,251,False
294,train,train,252,False
295,train,train,253,False
296,test,test,254,False
297,test,train,255,False
298,test,test,256,False
299,train,test,257,False
300,train,test,257,False
301,train,test,258,False
302,train,train,259,False
303,train,train,260,False
304,train,train,261,False
305,test,train,262,False
306,train,test,263,False
307,train,train,264,False
308,test,train,265,False
309,test,test,266,False
310,train,train,267,False
311,train,train,268,False
312,train,train,269,False
313,train,test,270,False
314,train,train,271,False
315,test,train,272,False
316,train,train,273,False
317,train,test,274,False
318,test,train,275,False
319,train,train,276,False
320,train,train,277,False
321,train,test,278,False
322,test,test,279,False
323,train,train,280,False
324,train,train,281,False
325,train,train,282,False
326,train,test,283,False
327,train,train,284,False
328,train,train,285,False
329,train,train,286,False
330,train,train,287,False
331,train,train,288,False
332,train,test,289,False
333,train,train,290,False
334,train,test,291,False
335,train,train,292,False
336,train,train,293,False
337,train,train,294,False
338,train,test,295,False
339,train,test,296,False
340,train,train,297,False
341,train,test,298,False
342,train,test,299,False
343,train,train,300,False
344,train,train,301,False
345,train,train,302,False
346,train,train,303,False
347,train,train,304,False
348,train,train,305,False
349,train,train,306,False
350,test,train,307,False
351,test,train,308,False
352,train,test,309,False
353,train,train,310,False
354,test,train,311,False
355,train,train,312,False
356,train,train,313,False
357,train,test,314,False
358,train,test,315,False
359,train,train,316,False
360,train,train,317,False
361,train,train,318,False
362,train,train,319,False
363,train,train,320,False
364,train,test,321,False
365,train,test,322,False
366,train,train,323,False
367,train,test,324,False
368,train,test,325,False
369,train,train,326,False
370,train,train,327,False
371,test,train,328,False
372,train,train,329,False
373,test,train,330,False
374,train,test,331,False
375,train,test,332,False
376,test,train,333,False
377,train,train,334,False
378,test,train,334,False
379,train,train,335,False
380,train,train,336,False
381,train,train,337,False
382,train,train,338,False
383,train,train,339,False
384,train,train,340,False
385,train,train,341,False
386,train,train,342,False
387,test,test,343,False
388,train,test,343,False
389,train,train,344,False
390,train,train,345,False
391,train,test,346,False
392,train,train,347,False
393,test,train,347,False
394,train,train,348,False
395,train,train,349,False
396,train,train,350,False
397,train,test,351,False
398,train,train,352,False
399,train,train,353,False
400,train,test,354,False
401,train,train,355,False
402,train,train,355,False
403,train,train,356,False
404,train,train,357,False
405,train,test,358,False
406,train,train,359,False
407,train,train,360,False
408,train,train,361,False
409,train,train,362,False
410,test,train,363,False
411,train,train,363,False
412,train,train,363,False
413,train,train,364,False
414,test,train,365,False
415,test,train,366,False
416,test,train,367,False
417,train,train,367,False
418,train,test,368,False
419,train,train,369,False
420,train,train,370,False
421,train,test,371,False
422,test,train,372,False
423,train,train,373,False
424,train,train,373,False
425,train,train,373,False
426,test,train,374,False
427,train,train,375,False
428,train,train,376,False
429,test,train,376,False
430,train,train,377,False
431,train,train,378,False
432,train,train,378,False
433,train,train,379,False
434,train,train,380,False
435,train,train,381,False
436,train,train,381,False
437,train,train,382,False
438,test,train,382,False
439,train,train,382,False
440,train,train,382,False
441,train,train,383,False
442,train,train,384,False
443,test,train,385,False
444,train,train,386,False
445,train,test,387,False
446,train,train,388,False
447,train,train,389,False
