feature,training_unique_values,training_modal_share,training_zero_share,keep_for_modeling,decision_reason
Sensor_1,774,0.04741379310344827,0.035919540229885055,True,retained
Sensor_2,310,0.04741379310344827,0.0,True,retained
Sensor_3,251,0.05675287356321839,0.0,True,retained
Sensor_4,758,0.04741379310344827,0.036637931034482756,True,retained
Sensor_5,305,0.05316091954022988,0.0,True,retained
Sensor_6,250,0.05603448275862069,0.0,True,retained
Sensor_7,1284,0.04885057471264368,0.0,True,retained
Sensor_8,1247,0.09267241379310345,0.0007183908045977011,True,retained
Sensor_9,1326,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_10,1231,0.10847701149425287,0.0007183908045977011,True,retained
Sensor_11,1336,0.035201149425287355,0.035201149425287355,True,retained
Sensor_12,1342,0.035201149425287355,0.0007183908045977011,True,retained
Sensor_13,760,0.08836206896551724,0.0007183908045977011,True,retained
Sensor_14,975,0.16163793103448276,0.01293103448275862,True,retained
Sensor_15,1317,0.048132183908045974,0.0014367816091954023,True,retained
Sensor_16,804,0.42313218390804597,0.0007183908045977011,True,retained
Sensor_17,74,0.08189655172413793,0.0014367816091954023,True,retained
Sensor_18,69,0.47126436781609193,0.0007183908045977011,True,retained
Sensor_19,1325,0.04885057471264368,0.0007183908045977011,True,retained
Sensor_20,340,0.7449712643678161,0.0007183908045977011,True,retained
Sensor_21,1303,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_22,807,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_23,622,0.048132183908045974,0.015804597701149427,True,retained
Sensor_24,1305,0.048132183908045974,0.015804597701149427,True,retained
Sensor_25,831,0.04885057471264368,0.0007183908045977011,True,retained
Sensor_26,1091,0.21479885057471265,0.0007183908045977011,True,retained
Sensor_27,732,0.21408045977011494,0.0007183908045977011,True,retained
Sensor_28,705,0.21551724137931033,0.0028735632183908046,True,retained
Sensor_29,1091,0.21479885057471265,0.0028735632183908046,True,retained
Sensor_30,742,0.21408045977011494,0.0007183908045977011,True,retained
Sensor_31,321,0.7449712643678161,0.0007183908045977011,True,retained
Sensor_32,1322,0.048132183908045974,0.0,True,retained
Sensor_33,1326,0.048132183908045974,0.0,True,retained
Sensor_34,1380,0.0035919540229885057,0.0,True,retained
Sensor_35,1386,0.0035919540229885057,0.0007183908045977011,True,retained
Sensor_36,1379,0.0035919540229885057,0.0,True,retained
Sensor_37,1385,0.0021551724137931034,0.0007183908045977011,True,retained
Sensor_38,1326,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_39,1310,0.05962643678160919,0.0,True,retained
Sensor_40,1326,0.048132183908045974,0.0,True,retained
Sensor_41,1380,0.0035919540229885057,0.0007183908045977011,True,retained
Sensor_42,1378,0.00646551724137931,0.0007183908045977011,True,retained
Sensor_43,1382,0.0035919540229885057,0.0007183908045977011,True,retained
Sensor_44,1320,0.04741379310344827,0.0007183908045977011,True,retained
Sensor_45,194,0.8484195402298851,0.8484195402298851,True,retained
Sensor_46,209,0.8484195402298851,0.8484195402298851,True,retained
Sensor_47,139,0.9001436781609196,0.0,True,retained
Sensor_48,201,0.8462643678160919,0.8462643678160919,True,retained
Sensor_49,1171,0.07327586206896551,0.0,True,retained
Sensor_50,186,0.08117816091954023,0.0,True,retained
Sensor_51,755,0.13793103448275862,0.0,True,retained
Sensor_52,61,0.6400862068965517,0.015086206896551725,True,retained
Sensor_53,2,0.8390804597701149,0.16091954022988506,True,retained
Sensor_54,539,0.0639367816091954,0.02586206896551724,True,retained
Sensor_55,1185,0.04741379310344827,0.04741379310344827,True,retained
Sensor_56,1248,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_57,1169,0.08836206896551724,0.08836206896551724,True,retained
Sensor_58,1324,0.04741379310344827,0.0007183908045977011,True,retained
Sensor_59,521,0.04885057471264368,0.0007183908045977011,True,retained
Sensor_60,1326,0.048132183908045974,0.0,True,retained
Sensor_61,1162,0.04597701149425287,0.0007183908045977011,True,retained
Sensor_62,951,0.23563218390804597,0.0007183908045977011,True,retained
Sensor_63,1392,0.0007183908045977011,0.0,True,retained
Sensor_64,1176,0.0035919540229885057,0.0007183908045977011,True,retained
Sensor_65,1392,0.0007183908045977011,0.0007183908045977011,True,retained
Sensor_66,1167,0.04741379310344827,0.0007183908045977011,True,retained
Sensor_67,873,0.005028735632183908,0.0014367816091954023,True,retained
Sensor_68,425,0.4324712643678161,0.2413793103448276,True,retained
Sensor_69,432,0.6738505747126436,0.6738505747126436,True,retained
Sensor_70,1325,0.048132183908045974,0.0,True,retained
Sensor_71,1326,0.048132183908045974,0.0,True,retained
Sensor_72,2,0.9260057471264368,0.07399425287356322,True,retained
Sensor_73,3,0.7701149425287356,0.7701149425287356,True,retained
Sensor_74,316,0.6091954022988506,0.0007183908045977011,True,retained
Sensor_75,446,0.603448275862069,0.603448275862069,True,retained
Sensor_76,2,0.5869252873563219,0.4130747126436782,True,retained
Sensor_77,7,0.6364942528735632,0.11422413793103449,True,retained
Sensor_78,1324,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_79,1326,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_80,249,0.05531609195402299,0.0007183908045977011,True,retained
Sensor_81,1392,0.0007183908045977011,0.0007183908045977011,True,retained
Sensor_82,306,0.015086206896551725,0.0007183908045977011,True,retained
Sensor_83,1392,0.0007183908045977011,0.0007183908045977011,True,retained
Sensor_84,1109,0.08836206896551724,0.0007183908045977011,True,retained
Sensor_85,97,0.3254310344827586,0.0007183908045977011,True,retained
Sensor_86,217,0.0625,0.0007183908045977011,True,retained
Sensor_87,455,0.11063218390804598,0.0007183908045977011,True,retained
Sensor_88,98,0.14295977011494254,0.0,True,retained
Sensor_89,223,0.11206896551724138,0.0,True,retained
Sensor_90,1003,0.01293103448275862,0.0007183908045977011,True,retained
Sensor_91,1148,0.031609195402298854,0.0007183908045977011,True,retained
Sensor_92,157,0.11278735632183907,0.0007183908045977011,True,retained
Sensor_93,217,0.0668103448275862,0.0007183908045977011,True,retained
Sensor_94,992,0.021551724137931036,0.0007183908045977011,True,retained
Sensor_95,192,0.05316091954022988,0.0007183908045977011,True,retained
Sensor_96,90,0.3045977011494253,0.0007183908045977011,True,retained
Sensor_97,134,0.2765804597701149,0.0007183908045977011,True,retained
Sensor_98,1382,0.0035919540229885057,0.0007183908045977011,True,retained
Sensor_99,1386,0.0021551724137931034,0.0007183908045977011,True,retained
Sensor_100,210,0.8469827586206896,0.8469827586206896,True,retained
Sensor_101,305,0.7816091954022989,0.0007183908045977011,True,retained
Sensor_102,1225,0.04741379310344827,0.0007183908045977011,True,retained
Sensor_103,69,0.3024425287356322,0.0035919540229885057,True,retained
Sensor_104,1326,0.048132183908045974,0.0007183908045977011,True,retained
Sensor_105,1288,0.05675287356321839,0.0007183908045977011,True,retained
Sensor_106,1303,0.04597701149425287,0.0007183908045977011,True,retained
Sensor_107,1335,0.034482758620689655,0.007902298850574713,True,retained
Sensor_108,1183,0.07399425287356322,0.07399425287356322,True,retained
