observation_index,primary_split,grouped_sensitivity_split,target_profile_group,all_zero_output
0,train,train,0,False
1,train,train,1,False
2,train,train,2,False
3,train,train,3,False
4,train,train,4,False
5,train,train,5,False
6,train,train,6,False
7,train,train,7,False
8,train,train,8,False
9,train,train,9,False
10,train,train,10,False
11,train,train,11,False
12,train,train,12,False
13,train,train,13,False
14,train,train,14,False
15,test,test,15,False
16,train,train,16,False
17,train,train,17,False
18,train,train,18,False
19,train,train,19,False
20,train,train,20,False
21,train,train,21,False
22,train,train,22,False
23,test,test,23,False
24,train,train,24,False
25,train,train,25,False
26,train,train,26,False
27,train,train,27,False
28,train,train,28,False
29,test,test,29,False
30,test,test,30,False
31,train,train,31,False
32,test,test,32,False
33,train,train,33,False
34,train,train,34,False
35,train,train,35,False
36,train,train,36,False
37,train,train,37,False
38,train,train,38,False
39,train,train,39,False
40,train,train,40,False
41,train,train,41,False
42,train,train,42,False
43,train,test,43,False
44,test,test,44,False
45,train,train,45,False
46,train,train,46,False
47,train,train,47,False
48,train,train,48,False
49,test,test,49,False
50,train,train,50,False
51,test,test,51,False
52,train,train,52,False
53,train,train,53,False
54,train,train,54,False
55,train,train,55,False
56,test,test,56,False
57,train,train,57,False
58,train,train,58,False
59,test,test,59,False
60,train,train,60,False
61,train,train,61,False
62,train,train,62,False
63,train,test,63,False
64,train,train,64,False
65,test,test,65,False
66,train,train,66,False
67,test,test,67,False
68,train,train,68,False
69,test,train,68,False
70,test,train,68,False
71,train,train,68,False
72,train,test,69,False
73,test,test,70,False
74,train,train,71,False
75,train,train,72,False
76,test,test,73,False
77,train,train,74,False
78,test,train,75,False
79,train,test,76,False
80,train,train,77,False
81,train,test,78,False
82,train,train,79,False
83,train,train,80,False
84,train,train,81,False
85,train,train,82,False
86,train,train,83,False
87,train,train,84,False
88,train,train,85,False
89,train,train,86,False
90,train,train,87,False
91,train,train,88,False
92,train,train,88,False
93,train,train,88,False
94,train,train,88,False
95,train,train,89,False
96,train,train,90,False
97,train,train,91,False
98,train,train,92,False
99,test,train,93,False
100,train,train,94,False
101,train,train,95,False
102,train,train,96,False
103,train,train,97,False
104,train,train,98,False
105,train,test,99,False
106,train,test,100,False
107,train,test,101,False
108,train,train,102,False
109,test,train,103,False
110,train,train,104,False
111,train,train,105,False
112,train,train,106,False
113,train,test,107,False
114,train,train,108,False
115,test,test,109,False
116,train,train,110,False
117,train,train,111,False
118,train,train,112,False
119,train,train,112,False
120,train,train,113,False
121,train,train,114,False
122,train,test,115,False
123,test,train,116,False
124,test,train,117,False
125,train,train,118,False
126,train,train,119,False
127,train,train,120,False
128,train,train,121,False
129,train,train,122,False
130,train,test,123,False
131,train,test,124,False
132,train,test,124,False
133,train,train,125,False
134,train,train,126,False
135,test,train,127,False
136,train,test,128,False
137,train,test,128,False
