scope,alarm_category,metric,observations,mean,standard_deviation,median,minimum,maximum
all valid observations,normal,released_mean_index,4772,0.6125111590251214,0.011586282678479446,0.613097905490882,0.528546127624083,0.7760952476157746
all valid observations,normal,reference_profile_shape_deviation,4772,0.013658270000267871,0.006056992724639692,0.012015541341982,0.0032542273488772,0.0362499094189928
all valid observations,t2 alarm only,released_mean_index,31,0.6128493555858391,0.014878612485844343,0.6153005364326133,0.5843596074234694,0.6414262173025084
all valid observations,t2 alarm only,reference_profile_shape_deviation,31,0.012166375869656352,0.004693711715994694,0.0102927250739002,0.0064815057455252,0.0252593716370734
all valid observations,q alarm only,released_mean_index,28,0.6119988051054189,0.013552563583018165,0.6164808455883264,0.579427878507275,0.6320029672510907
all valid observations,q alarm only,reference_profile_shape_deviation,28,0.014522492229202582,0.0077495013337168135,0.01195511451833825,0.0073093969917922,0.0396351332089039
all valid observations,both alarms,released_mean_index,16,0.6099859983670146,0.012345738075080727,0.6103464119466969,0.583539771592733,0.6279045885752288
all valid observations,both alarms,reference_profile_shape_deviation,16,0.014357345452697231,0.005161732621307624,0.0136642523076786,0.0046569046225008,0.0218981638141646
primary assessment only,normal,released_mean_index,959,0.6127945828192193,0.011010312015445146,0.613704379902566,0.5689505632933449,0.6549800288789385
primary assessment only,normal,reference_profile_shape_deviation,959,0.013784081299733067,0.00621869661595462,0.0119957590953553,0.0032542273488772,0.0360606262263947
primary assessment only,t2 alarm only,released_mean_index,5,0.6103535473715455,0.014076473815427287,0.6116145419112682,0.5878160249949687,0.6250648281560517
primary assessment only,t2 alarm only,reference_profile_shape_deviation,5,0.013870618902890902,0.006639687002133212,0.0102927250739002,0.0094190265961607,0.0252593716370734
primary assessment only,q alarm only,released_mean_index,2,0.6060354834945406,0.0047479253527442054,0.6060354834945406,0.6026781932810477,0.6093927737080336
primary assessment only,q alarm only,reference_profile_shape_deviation,2,0.0244165078937682,0.0048239945766854345,0.0244165078937682,0.0210054286161868,0.0278275871713496
primary assessment only,both alarms,released_mean_index,4,0.6024519514645077,0.012681938912346495,0.6079523406398848,0.583539771592733,0.6103633529855285
primary assessment only,both alarms,reference_profile_shape_deviation,4,0.01578780876839385,0.004780114052391143,0.01483185860952655,0.0115893540403577,0.0218981638141646
