validation,zero_output_treatment,model,ridge_alpha,target,mae,rmse,r2
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_1,0.015073631377531751,0.16862708533419954,-37.460359898892385
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_2,0.010014783114771714,0.09471608544242412,-30.84253208269004
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_3,0.011736020151603724,0.09733232007747598,-28.97882627367413
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_4,0.00702647974210721,0.011053459047200957,0.2325375201605283
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_5,0.0081663105848179,0.04028433346727605,-9.597600476393282
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_6,0.006310578967716798,0.04198471266480544,-19.51912405298781
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_7,0.011194419476442457,0.08373065537756431,-25.215908120210035
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_8,0.009395021026016765,0.07796081334496795,-33.31858156626784
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_9,0.011399125891274299,0.10340642057322182,-40.11623436422322
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_10,0.007944583069181475,0.07553857979800158,-50.43566473785446
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_11,0.010710929002461697,0.12600908784023285,-98.91470060567124
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_12,0.007272636535380641,0.08444104582809828,-96.12072977808907
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_13,0.012101154580052368,0.14758985926359935,-120.42487209691133
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_14,0.009514593372959824,0.08818269303507775,-53.43225481669983
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_15,0.013453730046936481,0.1296843118016089,-57.62956700393419
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_16,0.013153795306327353,0.15221991410506536,-99.50276170499689
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_17,0.010714445323948218,0.13726711345804282,-138.09416493980777
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_1,0.02235168277559557,0.02711868384073173,0.00529135374522105
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_2,0.013472720356866147,0.016753784391466322,0.0037095715196759915
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_3,0.01392831419187323,0.0177630904582171,0.0015242329191089699
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_4,0.009594655800034236,0.012615604827444718,0.00028342450543650255
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_5,0.009713015728962632,0.012383010616391441,-0.001354073087463048
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_6,0.0073067926266778774,0.009263034549717617,0.001189695287925896
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_7,0.01281061337395444,0.016334870356515086,0.00223719703454206
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_8,0.010312349487589934,0.013291779190499542,0.0024312342210610627
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_9,0.012378691092975512,0.01610786981241058,0.002312469661474803
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_10,0.008129863281275077,0.010523067810634293,0.0018140236596029258
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_11,0.009708761216818677,0.01261291175360204,-0.0010513834551451051
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_12,0.006598971311386453,0.008576547303378368,-0.0019122914841689376
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_13,0.010590234637917084,0.01340456876800606,-0.0016138278053721145
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_14,0.009470395655073604,0.011948550514547915,0.0006443837150049703
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_15,0.01304468474892559,0.016926486603286443,0.0012070986010901397
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_16,0.011623559200996942,0.015189975085820607,-0.0008043258279000209
ordinary fixed split,excluded,Ridge,10000000.0,RAW_VALUE_t_17,0.009081668592113122,0.0116498054396539,-0.0018743409187174098
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_1,0.007916353234362298,0.011427037925705317,0.8233856389031393
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_2,0.005985048457696561,0.008574567641561455,0.739033611655463
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_3,0.007930486487717561,0.010852586620207086,0.6272934751482421
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_4,0.006239933108437045,0.008760370780624877,0.5179348728788558
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_5,0.006228184240565195,0.008600118842806072,0.5170033889385385
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_6,0.00423338256794678,0.005797938785929376,0.6086875207433508
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_7,0.007260232796403679,0.009823142809844854,0.6391748166001905
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_8,0.0057618477844747175,0.007820881576648838,0.6546272834182796
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_9,0.006955162874026623,0.009603945759869727,0.6453355003429841
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_10,0.004722288691136839,0.006491502088498332,0.6201456288219731
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_11,0.0056230212759897855,0.007880257930887714,0.6092432208404823
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_12,0.003898739015245667,0.0054503026379813255,0.5953812855734304
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_13,0.006133107805443958,0.008572706106883508,0.5903334654785622
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_14,0.005506258826809313,0.007454084115479511,0.611063960027623
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_15,0.007832300242535565,0.01080311926527943,0.5931445435815659
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_16,0.006903882104620042,0.009749722281563232,0.5876941080873525
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_17,0.005366530446157937,0.007434604751466901,0.5919703910898819
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_1,0.011132117145384078,0.01513471209312616,0.6825128502561538
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_2,0.007424688434912125,0.010098018089067236,0.6448633034169844
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_3,0.009125930840228145,0.012584186218799795,0.49539608447667505
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_4,0.006617784162516505,0.009463624175708939,0.424367793503443
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_5,0.008168000412415527,0.010703025038619661,0.2945188067318154
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_6,0.008097566956150288,0.011874342170335584,-0.7588476836234919
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_7,0.013333636345016765,0.01909228822930576,-0.5337105069721659
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_8,0.01054345385897429,0.015083346782878213,-0.4680986745821798
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_9,0.010401386015684444,0.013802006680654703,0.17544391688912542
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_10,0.006922990702256936,0.009114796099437912,0.2028358923602076
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_11,0.007837797228325736,0.010514506863698975,0.3014034458177539
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_12,0.005606053344525843,0.007576069836950565,0.2271847533908592
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_13,0.012836250212147503,0.019265689014115787,-1.1503188816741257
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_14,0.012191521467457361,0.018955703427692774,-1.6775092965021727
