observation_index,alarm_category,primary_split,statistic,feature,contribution,absolute_contribution,absolute_rank
1113,t2 alarm only,train,T2,Sensor_1,-0.03558564941534633,0.03558564941534633,39
1113,t2 alarm only,train,T2,Sensor_2,-0.003955061572208119,0.003955061572208119,78
1113,t2 alarm only,train,T2,Sensor_3,-0.0012049230331338872,0.0012049230331338872,88
1113,t2 alarm only,train,T2,Sensor_4,-0.03404421408561707,0.03404421408561707,41
1113,t2 alarm only,train,T2,Sensor_5,-0.0034414891195732175,0.0034414891195732175,82
1113,t2 alarm only,train,T2,Sensor_6,-0.0011719225823269648,0.0011719225823269648,89
1113,t2 alarm only,train,T2,Sensor_7,-0.00406593301334946,0.00406593301334946,77
1113,t2 alarm only,train,T2,Sensor_8,-0.021954656994508,0.021954656994508,52
1113,t2 alarm only,train,T2,Sensor_9,0.05056890045985839,0.05056890045985839,31
1113,t2 alarm only,train,T2,Sensor_10,-0.04612830026838212,0.04612830026838212,35
1113,t2 alarm only,train,T2,Sensor_11,-0.22029810918240694,0.22029810918240694,14
1113,t2 alarm only,train,T2,Sensor_12,-0.016222992497760817,0.016222992497760817,58
1113,t2 alarm only,train,T2,Sensor_13,-0.0012769604423825097,0.0012769604423825097,86
1113,t2 alarm only,train,T2,Sensor_14,0.001272033869262066,0.001272033869262066,87
1113,t2 alarm only,train,T2,Sensor_15,1.595533064964322e-05,1.595533064964322e-05,95
1113,t2 alarm only,train,T2,Sensor_16,-0.03147797984743461,0.03147797984743461,43
1113,t2 alarm only,train,T2,Sensor_17,0.003452609433891717,0.003452609433891717,81
1113,t2 alarm only,train,T2,Sensor_18,-0.03095396268229486,0.03095396268229486,44
1113,t2 alarm only,train,T2,Sensor_19,0.012613690376237439,0.012613690376237439,63
1113,t2 alarm only,train,T2,Sensor_20,0.0007448271255050912,0.0007448271255050912,93
1113,t2 alarm only,train,T2,Sensor_21,0.012207205861588034,0.012207205861588034,65
1113,t2 alarm only,train,T2,Sensor_22,0.038169914669458994,0.038169914669458994,37
1113,t2 alarm only,train,T2,Sensor_23,0.03531376876811343,0.03531376876811343,40
1113,t2 alarm only,train,T2,Sensor_24,0.027150620602813896,0.027150620602813896,51
1113,t2 alarm only,train,T2,Sensor_25,-0.010011552994737535,0.010011552994737535,69
1113,t2 alarm only,train,T2,Sensor_27,-0.1422743345807363,0.1422743345807363,18
1113,t2 alarm only,train,T2,Sensor_28,0.02915392449392821,0.02915392449392821,46
1113,t2 alarm only,train,T2,Sensor_29,0.046757948180259294,0.046757948180259294,34
1113,t2 alarm only,train,T2,Sensor_30,0.048332937147413275,0.048332937147413275,33
1113,t2 alarm only,train,T2,Sensor_31,0.005719747076480069,0.005719747076480069,76
1113,t2 alarm only,train,T2,Sensor_32,0.0034737329461280836,0.0034737329461280836,80
1113,t2 alarm only,train,T2,Sensor_33,0.12985824141285557,0.12985824141285557,19
1113,t2 alarm only,train,T2,Sensor_34,0.09069547708852291,0.09069547708852291,22
1113,t2 alarm only,train,T2,Sensor_35,-0.028646322376149468,0.028646322376149468,48
1113,t2 alarm only,train,T2,Sensor_36,0.494948263239527,0.494948263239527,8
1113,t2 alarm only,train,T2,Sensor_37,-0.01616275215031211,0.01616275215031211,59
1113,t2 alarm only,train,T2,Sensor_38,-0.0019155298103387351,0.0019155298103387351,84
1113,t2 alarm only,train,T2,Sensor_39,0.05184393258209129,0.05184393258209129,30
1113,t2 alarm only,train,T2,Sensor_40,0.007275041947545882,0.007275041947545882,73
1113,t2 alarm only,train,T2,Sensor_41,-0.09333028025632496,0.09333028025632496,20
