principal_component,explained_variance_ratio,cumulative_explained_variance,retained
1,0.16914823100713,0.16914823100713,True
2,0.07139983921934859,0.2405480702264786,True
3,0.056104483623762,0.2966525538502406,True
4,0.055298232921289894,0.35195078677153047,True
5,0.05134252950525647,0.40329331627678694,True
6,0.03921340990002798,0.4425067261768149,True
7,0.03773841769843825,0.4802451438752532,True
8,0.034053916607242406,0.5142990604824956,True
9,0.030579744184341152,0.5448788046668368,True
10,0.029613786662636712,0.5744925913294735,True
11,0.02469010046751494,0.5991826917969885,True
12,0.023165327147076552,0.622348018944065,True
13,0.022492670878023736,0.6448406898220888,True
14,0.02000166193087624,0.664842351752965,True
15,0.019621072385943166,0.6844634241389081,True
16,0.01870735893110062,0.7031707830700088,True
17,0.018411232287023713,0.7215820153570325,True
18,0.018052237944471007,0.7396342533015035,True
19,0.015165879458440511,0.754800132759944,True
20,0.014228419052051198,0.7690285518119951,True
21,0.013180021836279816,0.782208573648275,True
22,0.012688414093582342,0.7948969877418574,True
23,0.011587085517962248,0.8064840732598196,True
24,0.010843757616652832,0.8173278308764724,True
25,0.010515623657367008,0.8278434545338395,True
26,0.010368937631693345,0.8382123921655328,True
27,0.009638383188088778,0.8478507753536215,True
28,0.009373879198003763,0.8572246545516253,True
29,0.009034021126796297,0.8662586756784216,True
30,0.008744408769107535,0.8750030844475292,True
31,0.008472870146374092,0.8834759545939033,True
32,0.007729196494108961,0.8912051510880122,True
33,0.007206657295675481,0.8984118083836877,True
34,0.007047666391270768,0.9054594747749585,True
35,0.007012552258702635,0.9124720270336611,False
36,0.006398549786915137,0.9188705768205763,False
37,0.006185408671730888,0.9250559854923072,False
38,0.005910341634414494,0.9309663271267217,False
39,0.005842026490865029,0.9368083536175867,False
40,0.005466154571312707,0.9422745081888995,False
41,0.004825396808459384,0.9470999049973589,False
42,0.0046493426134091385,0.951749247610768,False
43,0.004331888940242844,0.9560811365510108,False
44,0.0036889713425691997,0.95977010789358,False
45,0.0034879574752332155,0.9632580653688132,False
46,0.003307677845913835,0.966565743214727,False
47,0.003033794535255543,0.9695995377499825,False
48,0.0029744878764074866,0.9725740256263901,False
49,0.002632082480490967,0.975206108106881,False
50,0.0023036558006613254,0.9775097639075423,False
51,0.002159456287300047,0.9796692201948424,False
52,0.002062019180223569,0.9817312393750659,False
53,0.0018907067133219842,0.9836219460883879,False
54,0.0017041937060932998,0.9853261397944812,False
55,0.001470691742065218,0.9867968315365465,False
56,0.0013790560074348618,0.9881758875439813,False
57,0.001332188392039436,0.9895080759360207,False
58,0.0013302574734339041,0.9908383334094546,False
59,0.0012261693855609179,0.9920645027950156,False
60,0.001141608070579892,0.9932061108655955,False
61,0.001054178426469042,0.9942602892920646,False
62,0.0008986177613688912,0.9951589070534335,False
63,0.000842136598378034,0.9960010436518115,False
64,0.0007728519178033789,0.9967738955696149,False
65,0.0005547777967587738,0.9973286733663737,False
66,0.00044675170010913815,0.9977754250664828,False
67,0.0003658411543582373,0.998141266220841,False
68,0.00034700751250104505,0.998488273733342,False
69,0.00030771919794353426,0.9987959929312855,False
70,0.00020527675275028626,0.9990012696840358,False
71,0.00015223722352717228,0.999153506907563,False
72,0.00012645603029446396,0.9992799629378575,False
73,0.00010858093549637926,0.9993885438733539,False
74,0.00010650391433799752,0.9994950477876918,False
75,9.871672360100146e-05,0.9995937645112928,False
76,9.243238841609857e-05,0.9996861968997088,False
77,6.966800703704381e-05,0.9997558649067458,False
78,6.74463141692227e-05,0.9998233112209151,False
79,6.272420018762175e-05,0.9998860354211027,False
80,3.623974542736826e-05,0.99992227516653,False
81,2.6608318716326995e-05,0.9999488834852464,False
82,1.9426942922191624e-05,0.9999683104281686,False
83,1.66489480896382e-05,0.9999849593762582,False
84,9.372714396497713e-06,0.9999943320906547,False
85,1.9099984157847457e-06,0.9999962420890705,False
86,1.5991023951251213e-06,0.9999978411914656,False
87,1.3709535146313682e-06,0.9999992121449802,False
88,3.0469494026092875e-07,0.9999995168399205,False
89,2.456481014749748e-07,0.999999762488022,False
90,1.2691751449859523e-07,0.9999998894055365,False
91,9.208591678870163e-08,0.9999999814914533,False
92,1.7346556907988334e-08,0.9999999988380102,False
93,1.1447213377892278e-09,0.9999999999827315,False
94,1.668110509210078e-11,0.9999999999994126,False
95,5.874331650595442e-13,1.0,False
