validation,zero_output_treatment,model,ridge_alpha,training_rows,assessment_rows,target_profile_groups_in_both_sets,aggregate_mae_17_targets,aggregate_rmse_17_targets,aggregate_r2_17_targets,released_mean_index_mae,released_mean_index_rmse,profile_shape_deviation_rows,profile_shape_deviation_mae,profile_shape_deviation_rmse
ordinary fixed split,excluded,Linear Regression,,3877,970,214,0.01030483750409004,0.10607265200070011,-55.25713794112609,0.007814715531219187,0.054505718887353075,970,0.004958478849078986,0.034944847784982705
ordinary fixed split,excluded,Ridge,10000000.0,3877,970,214,0.011183351416413889,0.014855551609443421,0.0008255554289046184,0.008549554294202004,0.011029757633830007,970,0.012278222137906036,0.01376278849412213
ordinary fixed split,excluded,Random Forest,,3877,970,214,0.0061468682329158565,0.00869798393068163,0.6218501595370534,0.0053019863022167,0.0075019105520662595,970,0.0031163996248277643,0.0040753845414813646
ordinary fixed split,included for sensitivity only,Ridge,10000000.0,3878,970,214,0.011193319021753231,0.014859305868291438,0.00017278430182478838,0.00856297324021556,0.01103472596312238,970,0.012278238777691545,0.01376283484654053
ordinary fixed split,included for sensitivity only,Random Forest,,3878,970,214,0.006163381028177992,0.008715178584463065,0.6194703078059975,0.005336788337649341,0.007519536851532851,970,0.003127439542088916,0.004076771727404415
identical-target-profile sensitivity,excluded,Linear Regression,,3768,1079,0,0.009646835291355191,0.014008622868252598,-0.10959242189848646,0.008147815537054693,0.010966025977300339,1079,0.006595905226941486,0.01080363019596634
identical-target-profile sensitivity,excluded,Ridge,100000000.0,3768,1079,0,0.010533279853892049,0.014635361824745308,-0.009714297344933683,0.008125328656371746,0.01117700982233031,1079,0.011874656552016269,0.013219115062335163
identical-target-profile sensitivity,excluded,Random Forest,,3768,1079,0,0.00616650637848337,0.009257794767544899,0.543233081416573,0.004961524156098807,0.008083762736812482,1079,0.0030031373788620788,0.004029261226184118
identical-target-profile sensitivity,included for sensitivity only,Ridge,100000000.0,3768,1080,0,0.011090417995562308,0.023927226290860276,-0.0016702386425458632,0.008684696382484152,0.021722908041383923,1079,0.011874656552016269,0.013219115062335163
identical-target-profile sensitivity,included for sensitivity only,Random Forest,,3768,1080,0,0.0067244412839888665,0.020967217807650783,0.2046110777248262,0.005520574785884287,0.020208849748709713,1079,0.0030031373788620766,0.004029261226184116
