process,metric,observations,mean,standard_deviation,minimum,p25,median,p75,maximum
AlCu,released_mean_index,4847,0.6125020266985484,0.011621235880081527,0.528546127624083,0.6055177880499247,0.6130999058579015,0.6192322006064358,0.7760952476157746
AlCu,released_standard_deviation,4847,0.11501310608807487,0.003486875703447528,0.09635359692431966,0.1128516380754435,0.11530828584055011,0.11723295228350261,0.15005566577618581
AlCu,released_range,4847,0.3816444329269393,0.011086032713813032,0.3204649239142865,0.37582755248645305,0.38245992692652264,0.3878864528779007,0.48721462597781007
AlCu,released_coefficient_of_variation,4847,0.18778360814833697,0.004773071876911447,0.17646738140088683,0.18445465112215617,0.18781950764848424,0.19114674422291184,0.20501708427700596
AlCu,reference_profile_shape_deviation,4847,0.01365602834802944,0.006057473550056621,0.003254227348877288,0.00893999167853481,0.01201138629324548,0.017420778646297812,0.03963513320890393
WTi,released_mean_index,1739,0.7344580372934708,0.012320783605691233,0.6471519358167982,0.7265394563239785,0.7343339663491616,0.7424138272318028,0.7767836481963746
WTi,released_standard_deviation,1739,0.16294123376485373,0.002411859418704785,0.14288587876716988,0.16159070991775257,0.16284340776294887,0.16439556202461872,0.17199853100994184
WTi,released_range,1739,0.46226397042708756,0.00828504143295774,0.39280292144290535,0.45734315986390883,0.4628864974585493,0.4676966667004293,0.48661838153735015
WTi,released_coefficient_of_variation,1739,0.22186207077910386,0.001125779947489325,0.21799806706622105,0.22106356829794116,0.22178691901281955,0.222581275848517,0.22583989870063442
WTi,reference_profile_shape_deviation,1739,0.0058510151138461575,0.0025141739014572077,0.0014519211562986345,0.004009756219596619,0.005392553662240851,0.007247356730247239,0.023984508857031968
