validation,zero_output_treatment,model,model_selection_source,ridge_alpha,training_rows,assessment_rows,target_profile_groups_in_both_sets,aggregate_mae_17_targets,aggregate_rmse_17_targets,aggregate_r2_17_targets,released_mean_index_mae,released_mean_index_rmse,profile_shape_deviation_rows,profile_shape_deviation_mae,profile_shape_deviation_rmse
ordinary fixed split,excluded,Linear Regression,required baseline,,1392,347,24,0.018189694539544936,0.1820187585586894,-176.8464422127588,0.017285972202298706,0.16785982970329236,347,0.04930476683253209,0.8794672141382307
ordinary fixed split,excluded,Ridge,training-only cross-validation,1000.0,1392,347,24,0.007208383118280592,0.014580477106417805,-0.172464596284719,0.006848517719691661,0.013583954298149958,347,0.0023771425124326016,0.004626146292081377
ordinary fixed split,excluded,Random Forest,fixed after primary AlCu training-only stability gate,,1392,347,24,0.0051936800784794,0.008284596349354027,0.6042125206820659,0.004699204989514801,0.007660474598062774,347,0.0018508767483961055,0.0024489311916109963
ordinary fixed split,included for sensitivity only,Ridge,training-only cross-validation,1000.0,1392,348,24,0.009186687721053053,0.040825734389875364,0.071919223392628,0.008827856418437079,0.03968157567950261,347,0.0023771425124326016,0.004626146292081377
ordinary fixed split,included for sensitivity only,Random Forest,fixed after primary AlCu training-only stability gate,,1392,348,24,0.007312709972771125,0.04154899873743728,0.04172671911235589,0.006819655789234584,0.04053668706672958,347,0.0018508767483961053,0.0024489311916109954
identical-target-profile sensitivity,excluded,Linear Regression,required baseline,,1392,347,0,0.006905389102870625,0.022290232594403395,-1.5915099482791646,0.006563765401374766,0.021049707662047442,347,0.0016779831547094983,0.005668284726586864
identical-target-profile sensitivity,excluded,Ridge,training-only cross-validation,100000000000.0,1392,347,0,0.01067424389704784,0.014317602249773942,-0.003898222594941377,0.010108588645214685,0.013226690445063416,347,0.00560863142961091,0.0061913906706874446
identical-target-profile sensitivity,excluded,Random Forest,fixed after primary AlCu training-only stability gate,,1392,347,0,0.00512634097188446,0.007665619390219184,0.6903012761469909,0.00466748969113226,0.007020035659519879,347,0.001998108670519741,0.0025582615771117694
identical-target-profile sensitivity,included for sensitivity only,Ridge,training-only cross-validation,100000000000.0,1393,347,0,0.01070889632859056,0.014359569207793438,-0.01001523112811636,0.010140307967663355,0.013270669767745954,347,0.005608631429524316,0.006191390670592835
identical-target-profile sensitivity,included for sensitivity only,Random Forest,fixed after primary AlCu training-only stability gate,,1393,347,0,0.005421402947073684,0.008124025103752807,0.6523851018538122,0.004987423089790262,0.0074954616010294425,347,0.00199674655929193,0.0025593228428638453
