validation,alpha,cross_validation_method,folds,mean_validation_rmse,standard_deviation_validation_rmse,maximum_validation_rmse,selected
ordinary fixed split,0.01,shuffled 5-fold,5,0.027474176922069254,0.031146458886835714,0.08275176589658836,False
ordinary fixed split,0.1,shuffled 5-fold,5,0.018438570056635194,0.014418343234120107,0.04329211067219711,False
ordinary fixed split,1.0,shuffled 5-fold,5,0.011557112186666552,0.0036454653079000194,0.01479131906435255,False
ordinary fixed split,10.0,shuffled 5-fold,5,0.010129430946287578,0.0025161916905643567,0.013020256782817338,False
ordinary fixed split,100.0,shuffled 5-fold,5,0.009235472446404379,0.0015577141990053367,0.010771015089348572,False
ordinary fixed split,1000.0,shuffled 5-fold,5,0.008876417166662468,0.0008703309546674413,0.010271621478343637,True
ordinary fixed split,10000.0,shuffled 5-fold,5,0.010789502499920715,0.0009188619729133998,0.012253679392451101,False
ordinary fixed split,100000.0,shuffled 5-fold,5,0.01278327114718868,0.0009531871404433035,0.014329936688409014,False
ordinary fixed split,1000000.0,shuffled 5-fold,5,0.013258326195452124,0.0009544288273847808,0.014802424813455775,False
ordinary fixed split,10000000.0,shuffled 5-fold,5,0.013312688635252635,0.0009545610901233716,0.014856105832629382,False
ordinary fixed split,100000000.0,shuffled 5-fold,5,0.013318203567245062,0.0009545746889715262,0.014861547553300887,False
ordinary fixed split,1000000000.0,shuffled 5-fold,5,0.013318755858911482,0.0009545760529750469,0.01486209247220297,False
ordinary fixed split,10000000000.0,shuffled 5-fold,5,0.013318811096074551,0.0009545761894169918,0.01486214697157233,False
ordinary fixed split,100000000000.0,shuffled 5-fold,5,0.013318816619870836,0.0009545762030616014,0.014862152421584066,False
ordinary fixed split,1000000000000.0,shuffled 5-fold,5,0.013318817172251262,0.0009545762044260678,0.01486215296658599,False
identical-target-profile sensitivity,0.01,grouped 5-fold by exact target profile,5,723.6456273566371,1617.9676664576957,3617.954175142254,False
identical-target-profile sensitivity,0.1,grouped 5-fold by exact target profile,5,708.4407769872878,1583.9907538352709,3541.969575805511,False
identical-target-profile sensitivity,1.0,grouped 5-fold by exact target profile,5,695.8559918749951,1555.8787580108121,3479.0965241903514,False
identical-target-profile sensitivity,10.0,grouped 5-fold by exact target profile,5,713.9982362038178,1596.499243636623,3569.9029038786944,False
identical-target-profile sensitivity,100.0,grouped 5-fold by exact target profile,5,532.9588132380334,1191.7063136649706,2664.7478744897967,False
identical-target-profile sensitivity,1000.0,grouped 5-fold by exact target profile,5,145.9499657905298,326.33001472394955,729.7068425959217,False
identical-target-profile sensitivity,10000.0,grouped 5-fold by exact target profile,5,32.84151926065265,73.41064008669005,164.1624644621186,False
identical-target-profile sensitivity,100000.0,grouped 5-fold by exact target profile,5,4.622793380891911,10.308105401871282,23.062492872603592,False
identical-target-profile sensitivity,1000000.0,grouped 5-fold by exact target profile,5,0.4951532818422799,1.0774966236497623,2.422637580689604,False
identical-target-profile sensitivity,10000000.0,grouped 5-fold by exact target profile,5,0.059425606558060076,0.10307453016038534,0.24380823430653745,False
identical-target-profile sensitivity,100000000.0,grouped 5-fold by exact target profile,5,0.016129992822946988,0.006275063794460524,0.027310776089040728,False
identical-target-profile sensitivity,1000000000.0,grouped 5-fold by exact target profile,5,0.013197933213755559,0.0006365152120255958,0.014268869691043354,False
identical-target-profile sensitivity,10000000000.0,grouped 5-fold by exact target profile,5,0.013152580174958572,0.000691243019702132,0.014268916920428124,False
identical-target-profile sensitivity,100000000000.0,grouped 5-fold by exact target profile,5,0.013152262550168558,0.0006916695521358766,0.014268921643430634,True
identical-target-profile sensitivity,1000000000000.0,grouped 5-fold by exact target profile,5,0.01315227338328282,0.0006916558583667887,0.014268922115731523,False
