validation,zero_output_treatment,model,ridge_alpha,target,mae,rmse,r2
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_1,0.020813651578599435,0.21031043983026906,-221.5809042776394
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_2,0.03059387190717756,0.29747053816311403,-183.43701857155935
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_3,0.021613321594301484,0.2201396444053987,-223.51414998002411
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_4,0.01927250786766276,0.2007569713286623,-264.75011125741673
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_5,0.025565997398693502,0.2546447250976845,-220.25838616193244
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_6,0.017714316563676984,0.1792800386307809,-257.8158483316748
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_7,0.011926554144821246,0.12480065091904428,-213.3289019031912
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_8,0.018429822922324805,0.20795293270104714,-218.20480842896708
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_9,0.010935339457368397,0.09363874543097489,-101.43376077419735
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_10,0.014059920884082998,0.11110707598533243,-95.49231649890616
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_11,0.01100018542114551,0.08475272728920275,-82.37042708830253
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_12,0.018487080145872622,0.1489335085357771,-105.46608935363489
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_13,0.013513660594642748,0.12437996780518788,-216.6642245761816
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_14,0.022104545458891945,0.21606273147343236,-210.13709602434136
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_15,0.017164601662740853,0.15268079787078917,-100.7058477811186
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_16,0.015377296835578936,0.12368850201359867,-68.66436788799152
ordinary fixed split,excluded,Linear Regression,,RAW_VALUE_t_17,0.020652132734682138,0.18626379307527757,-222.56525871982015
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_1,0.006748468310638549,0.015249937538894223,-0.17031391546984698
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_2,0.010258441353554384,0.022102192320812338,-0.018194817220003046
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_3,0.00683478224474238,0.015924178117764237,-0.17479272834671034
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_4,0.00608917058277578,0.011363107268023002,0.14861420958553906
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_5,0.009003686528610727,0.014928898158774696,0.23952335223102672
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_6,0.005962976758590804,0.010690395320210832,0.07973157204004544
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_7,0.004619310774399139,0.010238195696615753,-0.4424271591547835
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_8,0.007831558851916942,0.018524471930472273,-0.7394488028778803
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_9,0.0053688627847993005,0.011910537460061803,-0.6572753229392974
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_10,0.006669660141140939,0.013642841150272067,-0.45485242024122696
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_11,0.005688976496291689,0.009180845925796753,0.02170449158591803
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_12,0.009009642113955281,0.01428436823368405,0.02062607889851975
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_13,0.005000656001715337,0.007823751633239354,0.13877568196330337
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_14,0.00836442007797753,0.01703045678211142,-0.3117691492108723
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_15,0.008595444831683164,0.01972549891136084,-0.6975910453321914
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_16,0.009030865625051064,0.015602734402274618,-0.10854537076685333
ordinary fixed split,excluded,Ridge,1000.0,RAW_VALUE_t_17,0.007465589532927049,0.011181573883833184,0.19433720841509383
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_1,0.004553389063007395,0.006932832013174734,0.7581268874310123
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_2,0.0070356826369914645,0.010958584872874365,0.7496952299656197
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_3,0.004565578389255578,0.007222091719311228,0.758357569396007
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_4,0.0041264273981310145,0.006700315102473951,0.7039789198254212
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_5,0.006450789454757506,0.010306743570268853,0.6375289600725432
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_6,0.004417520591308649,0.007150585996386062,0.5882721349771391
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_7,0.003352037473499393,0.005336853453705955,0.6080618006933753
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_8,0.005527209948679629,0.008753292164644166,0.6116146619621836
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_9,0.0037193740230557926,0.005916336895252137,0.5910805789044551
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_10,0.004705945260180076,0.007545908322415965,0.5549258767991674
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_11,0.004171711429814465,0.006493537268060902,0.5105962009819467
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_12,0.006689820512951768,0.01023200761124771,0.49748599505899016
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_13,0.003937022063584962,0.006032521033860088,0.4879836096183572
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_14,0.006621208021871059,0.009878851981910328,0.5586147903994951
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_15,0.006159046649779321,0.009266126613463734,0.6253950230968932
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_16,0.006533170897378948,0.010099711633117014,0.5355168228720412
ordinary fixed split,excluded,Random Forest,,RAW_VALUE_t_17,0.005726627519902778,0.00885807505697016,0.4943777895404732
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_1,0.005609536828082531,0.018235447668935274,-0.48354196705834407
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_2,0.00869903709029909,0.02674345539186965,-0.32155686045210086
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_3,0.006256647819287594,0.02107807864898767,-0.8789045112249712
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_4,0.005663627085718753,0.020243778485160898,-1.413320822800479
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_5,0.008082847073208334,0.02506090599900212,-0.9265988187401253
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_6,0.005578766358825817,0.016200439152215952,-0.9017782523088698
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_7,0.004424312520064913,0.013311254584102174,-1.205277187110791
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_8,0.007654294588405415,0.025868464403492036,-2.0872327249446903
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_9,0.0054794544975865535,0.019937073247092096,-3.2576455946331846
identical-target-profile sensitivity,excluded,Linear Regression,,RAW_VALUE_t_10,0.006882716183060216,0.024869392332508806,-3.4805728944923695
